name,srcintf,dstintf,action,srcaddr,dstaddr,schedule,service,utm,ssl,av,webfilter,dnsfilter,ips,waf,application,logtraffic,loggtraffic_start,nat,groups,id
Ring Devices,internal,wan1,accept,Ring Devices,all,always,ALL,disable,,,,,,,,all,enable,enable,,9
School Night Block,internal,wan1,,Xavier-Oculus,all,Bedtime,ALL,disable,,,,,,,,all,enable,enable,,7
Block Youtube,internal,wan1,accept,Restricted_TV,all,always,ALL,enable,certificate-inspection,,,,,,Block Youtube,all,enable,enable,,11
Default Outbound,internal,wan1,accept,all,all,always,ALL,enable,certificate-inspection,Home AV,Home Webfilter,Home DNS Policy,protect_client,,Home App,all,enable,enable,,1
SSLVPN Allowed,ssl.root,internal,accept,SSLVPN_TUNNEL_ADDR1,internal,always,ALL,disable,,,,,,,,all,enable,enable,SAML_SSO,6
SSLVPN Outbound,ssl.root,wan1,accept,SSLVPN_TUNNEL_ADDR1,all,always,ALL,enable,certificate-inspection,,Home Webfilter,,protect_client,,Home App,all,enable,enable,SAML_SSO,12
Plex,wan1,internal,accept,all,Plex,always,Plex_32400,enable,certificate-inspection,,,,protect_http_server,Home WAF,,all,enable,enable,,3
Wireguard,wan1,internal,accept,all,WireGuard,always,WireGuard,disable,,,,,,,,all,enable,enable,,4
Test,internal,wan1,accept,all,all,always,ALL,disable,,,,,,,,all,enable,enable,,10
