url
download.microsoft.com
download.windowsupdate.com
kaspersky.com
kswebtags.org
ntservicepack.microsoft.com
update.itsupport247.net
update.microsoft.com
webrootanywhere.com
webrootcloudav.com
windowsupdate.com
windowsupdate.microsoft.com
wpcmbkp.itsupport247.net
wpcmcfg.itsupport247.netwebpost2.itsupport247.net
wpcmdat.itsupport247.net
wpcmdatrev.itsupport247.net
wustat.windows.com
